canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
NC(=O)C1=NC2=NS(=O)(=O)c3ccccc3N2N1Cc1ccc(Br)cc1,CHEMBL3463973,IC50,nM,40969.61,CHEMBL4662927,pIC50,,4.38753820967032,Histidine--tRNA ligase,Leishmania infantum
NC(=O)C1=NC2=NS(=O)(=O)c3ccccc3N2N1Cc1ccc(Br)cc1,CHEMBL3463973,IC50,nM,69948.02,CHEMBL4662927,pIC50,,4.15522458460595,Histidine--tRNA ligase,Leishmania infantum
N#Cc1ccsc1N1CCC(Sc2ccncc2)C1=O,CHEMBL3464922,IC50,nM,17715.58,CHEMBL4662927,pIC50,,4.75164467300244,Histidine--tRNA ligase,Leishmania infantum
N#Cc1ccsc1N1CCC(Sc2ccncc2)C1=O,CHEMBL3464922,IC50,nM,32993.17,CHEMBL4662927,pIC50,,4.4815759146193,Histidine--tRNA ligase,Leishmania infantum
Cn1cc(Br)cc(NC(=O)CC(C)(C)C)c1=O,CHEMBL3462201,IC50,nM,13853.23,CHEMBL4662927,pIC50,,4.8584488949874,Histidine--tRNA ligase,Leishmania infantum
Cn1cc(Br)cc(NC(=O)CC(C)(C)C)c1=O,CHEMBL3462201,IC50,nM,12028.14,CHEMBL4662927,pIC50,,4.91980149412204,Histidine--tRNA ligase,Leishmania infantum
CCC(=O)Nc1cc(Br)cn(C)c1=O,CHEMBL3462203,IC50,nM,7656.57,CHEMBL4662927,pIC50,,5.11596548229033,Histidine--tRNA ligase,Leishmania infantum
CCC(=O)Nc1cc(Br)cn(C)c1=O,CHEMBL3462203,IC50,nM,7914.74,CHEMBL4662927,pIC50,,5.10156340529782,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NC(=O)NC(C)CCc2ccccc2)ccc1=O,CHEMBL3462210,IC50,nM,3090.34,CHEMBL4662927,pIC50,,5.50999343790386,Histidine--tRNA ligase,Leishmania infantum
COCCn1cc(NC(=O)NC(C)CCc2ccccc2)ccc1=O,CHEMBL3462210,IC50,nM,3503.62,CHEMBL4662927,pIC50,,5.45548312867371,Histidine--tRNA ligase,Leishmania infantum
