exact_core_row_id,pair_id,parasite_label,human_label,compound_key,molecule_chembl_id,canonical_smiles,standard_inchi_key,murcko_scaffold,selectivity_ratio_human_div_parasite,log10_selectivity_ratio,is_selective,selectivity_threshold,label_status,is_trainable_exact_core,exact_evidence_count,ratio_min_human_div_parasite,ratio_median_human_div_parasite,ratio_max_human_div_parasite,log10_ratio_min,log10_ratio_median,log10_ratio_max,n_unique_ratio_values,n_positive_exact_observations,n_negative_exact_observations,parasite_standard_types,human_standard_types,parasite_assay_types,human_assay_types,parasite_activity_chembl_ids,human_activity_chembl_ids,parasite_assay_chembl_ids,human_assay_chembl_ids,parasite_document_chembl_ids,human_document_chembl_ids,n_parasite_documents,n_human_documents
LmDHFR::WKSAUQYGYAYLPV-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),WKSAUQYGYAYLPV-UHFFFAOYSA-N,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,c1ccc(-c2cncnc2)cc1,0.7245242752978837,-0.1399470588452576,0,10.0,exact_core_consistent,1,9,0.071136404054775,0.7245242752978837,1.1915347679174817,-1.1479080921814406,-0.1399470588452576,0.07610671919142352,5,0,9,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL2050302;CHEMBL2384165;CHEMBL5538801;CHEMBL5738778;CHEMBL983757,CHEMBL5729483,CHEMBL1155823;CHEMBL2046359;CHEMBL2380288;CHEMBL5537142;CHEMBL5729483,1,5
LmDHFR::YWYMUWNXZFMLTG-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),YWYMUWNXZFMLTG-UHFFFAOYSA-N,CHEMBL4544467,Nc1ncc(N2CCN(c3ccccc3-c3ccccc3)CC2)c(N)n1,YWYMUWNXZFMLTG-UHFFFAOYSA-N,c1ccc(-c2ccccc2N2CCN(c3cncnc3)CC2)cc1,83.24430983879779,1.9203545570123646,1,10.0,exact_core_consistent,1,2,28.879892037786774,83.24430983879779,239.9460188933873,1.4605955653698626,1.9203545570123646,2.3801135486548666,2,2,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmPTR1::WKSAUQYGYAYLPV-UHFFFAOYSA-N,LmPTR1,Pteridine reductase 1,Dihydrofolate reductase (human),WKSAUQYGYAYLPV-UHFFFAOYSA-N,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N,c1ccc(-c2cncnc2)cc1,0.29955882352941166,-0.5235178837060723,0,10.0,exact_core_consistent,1,18,0.0294117647058823,0.29955882352941166,0.4926470588235294,-1.5314789170422558,-0.5235178837060723,-0.3074641056693911,5,0,18,IC50,IC50,B,B,,,CHEMBL4388228;CHEMBL5528599,CHEMBL2050302;CHEMBL2384165;CHEMBL5538801;CHEMBL5738778;CHEMBL983757,CHEMBL4387708;CHEMBL5528010,CHEMBL1155823;CHEMBL2046359;CHEMBL2380288;CHEMBL5537142;CHEMBL5729483,2,5
SmDHODH::CUCVTDOXQYMYKL-UHFFFAOYSA-N,SmDHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dihydroorotate dehydrogenase (human),CUCVTDOXQYMYKL-UHFFFAOYSA-N,CHEMBL1738786,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,CUCVTDOXQYMYKL-UHFFFAOYSA-N,c1ccc(Nc2ccnc3ncnn23)cc1,0.3333333333333333,-0.47712125471966244,0,10.0,exact_core_consistent,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.47712125471966244,-0.47712125471966244,-0.47712125471966244,1,0,1,IC50,IC50,B,B,,,CHEMBL4403495,CHEMBL4403481,CHEMBL4402534,CHEMBL4402534,1,1
SmDHODH::KUCQYCKVKVOKAY-CTYIDZIISA-N,SmDHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dihydroorotate dehydrogenase (human),KUCQYCKVKVOKAY-CTYIDZIISA-N,CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,KUCQYCKVKVOKAY-CTYIDZIISA-N,O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21,33.564814814814824,1.525884255420063,1,10.0,exact_core_conflicting,0,6,6.018518518518518,33.564814814814824,33.72093023255814,0.7794896011559058,1.525884255420063,1.5278995466553884,4,4,2,IC50,IC50,B,B,,,CHEMBL4390974;CHEMBL4403495,CHEMBL2340292;CHEMBL4403481;CHEMBL4618426,CHEMBL4390643;CHEMBL4402534,CHEMBL2331175;CHEMBL4402534;CHEMBL4616673,2,3
SmDHODH::PHEZJEYUWHETKO-UHFFFAOYSA-N,SmDHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dihydroorotate dehydrogenase (human),PHEZJEYUWHETKO-UHFFFAOYSA-N,CHEMBL38434,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,PHEZJEYUWHETKO-UHFFFAOYSA-N,c1ccc(-c2ccc(-c3ccc4ccccc4n3)cc2)cc1,0.00040987803063838416,-3.3873453591370684,0,10.0,exact_core_consistent,1,48,2.4e-05,0.00040987803063838416,0.0019905,-4.619788758288394,-3.3873453591370684,-2.7010378180798833,17,0,48,IC50,IC50,B,B,,,CHEMBL4390974;CHEMBL4403495,CHEMBL1106928;CHEMBL2340288;CHEMBL2340292;CHEMBL2388704;CHEMBL3411803;CHEMBL3590869;CHEMBL3594613;CHEMBL3822209;CHEMBL3865521;CHEMBL3865525;CHEMBL4137384;CHEMBL4224224;CHEMBL4262431;CHEMBL4403481;CHEMBL4618428;CHEMBL4703073;CHEMBL4723394;CHEMBL4833342;CHEMBL4835653;CHEMBL5053601;CHEMBL5111970;CHEMBL5551445;CHEMBL5736422;CHEMBL863437,CHEMBL4390643;CHEMBL4402534,CHEMBL1147753;CHEMBL1155383;CHEMBL2331175;CHEMBL2385048;CHEMBL3407366;CHEMBL3588748;CHEMBL3593177;CHEMBL3817841;CHEMBL3864183;CHEMBL4130632;CHEMBL4219256;CHEMBL4261511;CHEMBL4402534;CHEMBL4616673;CHEMBL4699538;CHEMBL4715855;CHEMBL4831530;CHEMBL4834424;CHEMBL5053485;CHEMBL5108054;CHEMBL5550131;CHEMBL5728275,2,22
SmDHODH::UTNUDOFZCWSZMS-YFHOEESVSA-N,SmDHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dihydroorotate dehydrogenase (human),UTNUDOFZCWSZMS-YFHOEESVSA-N,CHEMBL973,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,UTNUDOFZCWSZMS-YFHOEESVSA-N,c1ccccc1,0.007433115093956237,-2.1288291425524775,0,10.0,exact_core_consistent,1,36,0.0026,0.007433115093956237,0.1002374,-2.5850266520291822,-2.1288291425524775,-0.9989702067814364,17,0,36,IC50,IC50,B,B,,,CHEMBL4390974;CHEMBL4403495,CHEMBL1930744;CHEMBL2187569;CHEMBL2434279;CHEMBL3296347;CHEMBL3296353;CHEMBL3411803;CHEMBL3413103;CHEMBL3590869;CHEMBL3810850;CHEMBL4137384;CHEMBL4403481;CHEMBL4833342;CHEMBL5044068;CHEMBL5140113;CHEMBL5354022;CHEMBL879486;CHEMBL911103;CHEMBL984852,CHEMBL4390643;CHEMBL4402534,CHEMBL1138463;CHEMBL1139229;CHEMBL1140402;CHEMBL1926525;CHEMBL2177103;CHEMBL2429811;CHEMBL3286300;CHEMBL3407366;CHEMBL3407421;CHEMBL3588748;CHEMBL3808318;CHEMBL4130632;CHEMBL4402534;CHEMBL4831530;CHEMBL5042506;CHEMBL5137035;CHEMBL5352423,2,17
SmHDAC8::AJRGHIGYPXNABY-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),AJRGHIGYPXNABY-UHFFFAOYSA-N,CHEMBL2170177,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,AJRGHIGYPXNABY-UHFFFAOYSA-N,c1ccc(Cn2ccc3ccccc32)cc1,0.02727272727272719,-1.5642714304385639,0,10.0,exact_core_conflicting,0,87,0.0091590909090909,0.02727272727272719,11.47842056932966,-2.0381476303450783,-1.5642714304385639,1.0598821332522814,48,3,84,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4158657;CHEMBL4843953,CHEMBL2175141;CHEMBL3384061;CHEMBL3391486;CHEMBL3772309;CHEMBL3801582;CHEMBL3803862;CHEMBL4027180;CHEMBL4037066;CHEMBL4158658;CHEMBL4158667;CHEMBL4158668;CHEMBL4193702;CHEMBL4198266;CHEMBL4326250;CHEMBL4422780;CHEMBL4431250;CHEMBL4610131;CHEMBL4619650;CHEMBL4619653;CHEMBL4771510;CHEMBL4843955;CHEMBL5039568;CHEMBL5117691;CHEMBL5576850;CHEMBL5586551;CHEMBL5626093;CHEMBL5626101;CHEMBL5716484;CHEMBL5732287,CHEMBL3797085;CHEMBL4152383;CHEMBL4842354,CHEMBL2169804;CHEMBL3352592;CHEMBL3390834;CHEMBL3769398;CHEMBL3797085;CHEMBL4024766;CHEMBL4033774;CHEMBL4152383;CHEMBL4190328;CHEMBL4196067;CHEMBL4325829;CHEMBL4422610;CHEMBL4428137;CHEMBL4609972;CHEMBL4616727;CHEMBL4765362;CHEMBL4842354;CHEMBL5038586;CHEMBL5113481;CHEMBL5576062;CHEMBL5584302;CHEMBL5625174;CHEMBL5715942;CHEMBL5726205,3,24
SmHDAC8::BBBOKCZDRCMPOZ-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),BBBOKCZDRCMPOZ-UHFFFAOYSA-N,CHEMBL3797843,O=C(NO)c1ccc(Cl)c(NC(=O)c2ccccc2)c1,BBBOKCZDRCMPOZ-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.7829467669302332,0.2511383767291527,0,10.0,exact_core_consistent,1,2,1.7748853719863926,1.7829467669302332,1.791044776119403,0.24917031011150698,0.2511383767291527,0.2531064433467984,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
SmHDAC8::BRRUGOHQKBWIIK-UHFFFAOYSA-N,SmHDAC8,Histone deacetylase 8,Histone deacetylase 8 (human),BRRUGOHQKBWIIK-UHFFFAOYSA-N,CHEMBL3798503,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(Cl)cc1,BRRUGOHQKBWIIK-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,1.6500518103947475,0.21749758095044178,0,10.0,exact_core_consistent,1,2,1.641780821917808,1.6500518103947475,1.6583644665836448,0.2153151782492167,0.21749758095044178,0.21967998365166685,2,0,2,IC50,IC50,B,B,,,CHEMBL3803623;CHEMBL4014727,CHEMBL3803862,CHEMBL3797085;CHEMBL4014283,CHEMBL3797085,2,1
