molecule_chembl_id,parasite_ic50,human_ic50,selectivity_ratio,parasite_target,human_target_id,selectivity_class,human_target
CHEMBL3763456,316.23,0.631,0.0019953831072320777,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL3764370,15.85,1.585,0.1,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL3765037,12.59,0.1995,0.01584590945194599,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL3765188,3.162,0.5012,0.15850727387729285,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4202704,501.19,31.62,0.06308984616612462,Class 1 phosphodiesterase PDEB1,CHEMBL275,COUNTER-SELECTIVE,PDE4B
CHEMBL4202975,158.49,158.49,1.0,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4203531,7943.28,12589.25,1.5848931423794705,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4204966,398.11,3162.28,7.943231770113788,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4204999,100.0,1995.26,19.9526,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4205916,1584.89,7943.28,5.011880950728441,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4206114,398.11,2511.89,6.309537564994599,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4206395,1584.89,2511.89,1.5848986364984319,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4208363,199.53,3162.28,15.848644314138225,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4209331,501.19,1000.0,1.9952513019014746,Class 1 phosphodiesterase PDEB1,CHEMBL275,POOR,PDE4B
CHEMBL4209841,501.19,3981.07,7.943235100460903,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4209972,3981.07,50118.72,12.589258666639873,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4210475,39.81,630.96,15.849284099472495,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4213296,501.19,6309.57,12.589177756938486,Class 1 phosphodiesterase PDEB1,CHEMBL275,SELECTIVE,PDE4B
CHEMBL4213432,1995.26,6309.57,3.1622796026583,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4213729,1000.0,3162.28,3.16228,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
CHEMBL4214240,794.33,3981.07,5.011859051024134,Class 1 phosphodiesterase PDEB1,CHEMBL275,MODERATE,PDE4B
