assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
B,CN(C)c1nc(N)nc(CN(CCCNCCCCCCCCCNCCCN(Cc2nc(N)nc(N(C)C)n2)Cc2nc(N)nc(N(C)C)n2)Cc2nc(N)nc(N(C)C)n2)n1.Cl,CHEMBL536324,Ki,nM,17000.0,CHEMBL2601,Ki,uM,17.0,Adenosine transporter 1,Trypanosoma brucei
B,CNc1nc(CN(CCCNCCCCCCCCCNCCCN(Cc2nc(NC)nc(NC)n2)Cc2nc(NC)nc(NC)n2)Cc2nc(NC)nc(NC)n2)nc(NC)n1.Cl,CHEMBL553511,Ki,nM,30000.0,CHEMBL2601,Ki,uM,30.0,Adenosine transporter 1,Trypanosoma brucei
B,Cl.Nc1nc(N)nc(CN(CCCNCCCCCCCCCCCCNCCCN(Cc2nc(N)nc(N)n2)Cc2nc(N)nc(N)n2)Cc2nc(N)nc(N)n2)n1,CHEMBL555240,Ki,nM,6700.0,CHEMBL2601,Ki,uM,6.7,Adenosine transporter 1,Trypanosoma brucei
B,CNc1nc(NC)nc(NCCCNCCCCCCCCCNCCCNc2nc(NC)nc(NC)n2)n1.Cl,CHEMBL542208,Ki,nM,14000.0,CHEMBL2601,Ki,uM,14.0,Adenosine transporter 1,Trypanosoma brucei
B,Cl.Nc1nc(N)nc(NCCCNC2CCC(NCCCNc3nc(N)nc(N)n3)CC2)n1,CHEMBL538771,Ki,nM,125000.0,CHEMBL2601,Ki,uM,125.0,Adenosine transporter 1,Trypanosoma brucei
B,CN(C)c1nc(N)nc(NCCCNCCCCCCCCCNCCCNc2nc(N)nc(N(C)C)n2)n1.Cl,CHEMBL539797,Ki,nM,10000.0,CHEMBL2601,Ki,uM,10.0,Adenosine transporter 1,Trypanosoma brucei
B,CN(C)c1nc(N)nc(NCCCNCCCCCCCCCCCCNCCCNc2nc(N)nc(N(C)C)n2)n1.Cl,CHEMBL544581,Ki,nM,240.0,CHEMBL2601,Ki,uM,0.24,Adenosine transporter 1,Trypanosoma brucei
B,CN(C)c1nc(N)nc(CN(CCCNCCCCCCCCCCCCNCCCN(Cc2nc(N)nc(N(C)C)n2)Cc2nc(N)nc(N(C)C)n2)Cc2nc(N)nc(N(C)C)n2)n1.Cl,CHEMBL541581,Ki,nM,4600.0,CHEMBL2601,Ki,uM,4.6,Adenosine transporter 1,Trypanosoma brucei
B,Nc1ccccc1CC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL414849,IC50,nM,2100.0,CHEMBL4386,IC50,uM,2.1,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCc1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL54925,IC50,nM,2400.0,CHEMBL4386,IC50,uM,2.4,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(Br)c1)P(=O)(O)O,CHEMBL370662,IC50,nM,3800.0,CHEMBL4386,IC50,uM,3.8,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1ccc(Cl)cc1Cl)P(=O)(O)O,CHEMBL191613,IC50,nM,4300.0,CHEMBL4386,IC50,uM,4.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL55371,IC50,nM,4300.0,CHEMBL4386,IC50,uM,4.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(I)c1)P(=O)(O)O,CHEMBL102478,IC50,nM,5500.0,CHEMBL4386,IC50,uM,5.5,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(-c2cc(F)cc(F)c2)c1)P(=O)(O)O,CHEMBL196254,IC50,nM,6200.0,CHEMBL4386,IC50,uM,6.2,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=[N+]([O-])c1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL450938,IC50,nM,6500.0,CHEMBL4386,IC50,uM,6.5,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(Cl)c1)P(=O)(O)O,CHEMBL195034,IC50,nM,7500.0,CHEMBL4386,IC50,uM,7.5,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(CC12CC3CC(CC(C3)C1)C2)P(=O)(O)O,CHEMBL199206,IC50,nM,8000.0,CHEMBL4386,IC50,uM,8.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(Br)c1)P(=O)(O)O,CHEMBL371456,IC50,nM,9000.0,CHEMBL4386,IC50,uM,9.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,COCc1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL198409,IC50,nM,9700.0,CHEMBL4386,IC50,uM,9.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CC(C)c1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL364728,IC50,nM,9700.0,CHEMBL4386,IC50,uM,9.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1ccc2c(c1)CCC2)P(=O)(O)O,CHEMBL55889,IC50,nM,9700.0,CHEMBL4386,IC50,uM,9.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CN(C)c1ccccc1NC(P(=O)(O)O)P(=O)(O)O,CHEMBL198826,IC50,nM,10000.0,CHEMBL4386,IC50,uM,10.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(CO)c1)P(=O)(O)O,CHEMBL443750,IC50,nM,10200.0,CHEMBL4386,IC50,uM,10.2,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL299988,IC50,nM,10300.0,CHEMBL4386,IC50,uM,10.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc2ccccc12)P(=O)(O)O,CHEMBL192881,IC50,nM,11300.0,CHEMBL4386,IC50,uM,11.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(F)c1)P(=O)(O)O,CHEMBL198126,IC50,nM,11300.0,CHEMBL4386,IC50,uM,11.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1,CHEMBL197836,IC50,nM,12300.0,CHEMBL4386,IC50,uM,12.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL299491,IC50,nM,12700.0,CHEMBL4386,IC50,uM,12.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CC(C)(C)c1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL333503,IC50,nM,13300.0,CHEMBL4386,IC50,uM,13.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(c1ccc(-c2ccccc2)cc1)P(=O)(O)O,CHEMBL198380,IC50,nM,14700.0,CHEMBL4386,IC50,uM,14.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CC(C)(C)c1cc(NC(P(=O)(O)O)P(=O)(O)O)cc(C(C)(C)C)c1,CHEMBL300755,IC50,nM,16300.0,CHEMBL4386,IC50,uM,16.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=[N+]([O-])c1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL125188,IC50,nM,16700.0,CHEMBL4386,IC50,uM,16.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(C(F)(F)F)c1)P(=O)(O)O,CHEMBL196631,IC50,nM,17300.0,CHEMBL4386,IC50,uM,17.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,COc1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL196554,IC50,nM,18700.0,CHEMBL4386,IC50,uM,18.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Cc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1-c1ccccc1,CHEMBL370330,IC50,nM,19000.0,CHEMBL4386,IC50,uM,19.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL52761,IC50,nM,21500.0,CHEMBL4386,IC50,uM,21.5,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(-c2ccc(F)c(F)c2)c1)P(=O)(O)O,CHEMBL194800,IC50,nM,24300.0,CHEMBL4386,IC50,uM,24.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(Cc1cccc(-c2ccc(F)cc2)c1)P(=O)(O)O,CHEMBL194801,IC50,nM,25000.0,CHEMBL4386,IC50,uM,25.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,Cc1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1,CHEMBL127588,IC50,nM,25300.0,CHEMBL4386,IC50,uM,25.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CC(C)c1cccc(C(C)C)c1NC(P(=O)(O)O)P(=O)(O)O,CHEMBL199012,IC50,nM,25300.0,CHEMBL4386,IC50,uM,25.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1ccc(Cc2ccccc2)cc1)P(=O)(O)O,CHEMBL198013,IC50,nM,28300.0,CHEMBL4386,IC50,uM,28.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(Nc1cccc(-c2ccc(F)cc2F)c1)P(=O)(O)O,CHEMBL198439,IC50,nM,28700.0,CHEMBL4386,IC50,uM,28.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(CNc1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL381465,IC50,nM,29700.0,CHEMBL4386,IC50,uM,29.7,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(c1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL196676,IC50,nM,31000.0,CHEMBL4386,IC50,uM,31.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,O=P(O)(O)C(O)(C[n+]1cccc(-c2ccccc2)c1)P(=O)(O)O,CHEMBL196726,IC50,nM,35300.0,CHEMBL4386,IC50,uM,35.3,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
B,CCn1c2ccccc2c2ccc(NC(P(=O)(O)O)P(=O)(O)O)cc21,CHEMBL431139,IC50,nM,38000.0,CHEMBL4386,IC50,uM,38.0,Vacuolar-type proton translocating pyrophosphatase 1,Trypanosoma brucei
